iter	Passed	Remaining
0	40	16273
1	83	16705
2	124	16533
3	161	16036
4	198	15667
5	234	15421
6	272	15289
7	315	15459
8	358	15591
9	396	15470
10	439	15528
11	483	15641
12	526	15668
13	562	15501
14	602	15465
15	639	15336
16	676	15237
17	715	15190
18	753	15102
19	795	15112
20	834	15064
21	873	15016
22	913	14977
23	958	15014
24	1004	15072
25	1039	14947
26	1078	14897
27	1114	14809
28	1154	14773
29	1191	14698
30	1228	14617
31	1268	14586
32	1309	14563
33	1348	14516
34	1384	14433
35	1426	14424
36	1459	14319
37	1490	14195
38	1519	14063
39	1556	14007
40	1594	13964
41	1633	13927
42	1667	13842
43	1711	13846
44	1747	13785
45	1785	13739
46	1816	13640
47	1848	13553
48	1882	13487
49	1926	13483
50	1960	13418
51	2003	13407
52	2032	13309
53	2068	13252
54	2103	13196
55	2131	13096
56	2172	13074
57	2196	12951
58	2240	12946
59	2271	12873
60	2300	12783
61	2334	12726
62	2364	12649
63	2410	12652
64	2449	12625
65	2485	12577
66	2518	12519
67	2549	12446
68	2580	12378
69	2610	12304
70	2641	12238
71	2671	12169
72	2700	12096
73	2730	12029
74	2766	11988
75	2797	11927
76	2831	11876
77	2874	11867
78	2910	11825
79	2942	11768
80	2970	11699
81	3000	11635
82	3031	11577
83	3060	11513
84	3097	11477
85	3127	11418
86	3158	11361
87	3186	11299
88	3216	11239
89	3246	11182
90	3276	11126
91	3306	11071
92	3340	11027
93	3386	11025
94	3428	11008
95	3463	10966
96	3496	10921
97	3526	10866
98	3560	10826
99	3589	10769
100	3627	10738
101	3657	10685
102	3689	10638
103	3720	10587
104	3755	10551
105	3785	10499
106	3817	10453
107	3854	10422
108	3888	10381
109	3919	10333
110	3951	10287
111	3982	10240
112	4013	10193
113	4045	10149
114	4076	10102
115	4106	10054
116	4142	10019
117	4172	9971
118	4204	9927
119	4242	9899
120	4274	9855
121	4313	9828
122	4347	9790
123	4388	9768
124	4423	9731
